/tmp/tmp.NNqRKEiWiP/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NNqRKEiWiP/sim/631_test/dmc_sim_r_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 3000.0
client_limit = 0.0
client_weight = 0.0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 0.0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 500.0
client_limit = 0.0
client_weight = 0.0

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 415746 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 3223.50 1290.00  537.50 5051.00
        t_1: 3217.50 1286.50  536.00 5040.00
        t_2: 3219.00 1288.00  536.50 5043.50
        t_3: 3223.50 1289.00  537.00 5049.50
        t_4: 3243.50 1297.50  541.00 5082.00
        t_5: 3224.50 1290.00  537.00 5051.50
        t_6: 3250.50 1300.00  542.00 5092.50
        t_7: 3239.00 1296.00  539.50 5074.50
        t_8: 3227.50 1290.50  538.00 5056.00
        t_9:  930.00 1683.00 1940.50 4553.50
       t_10:    0.00 1773.00 2572.00 4345.00
       t_11:    0.00 1774.00 2576.00 4350.00
       t_12:    0.00 1778.50 2555.50 4334.00
       t_13:    0.00 1782.50 2445.00 4227.50
       t_14:    0.00 1792.50 2415.50 4208.00
       t_15: 3925.00  384.00  511.00 4820.00
       t_16: 4912.00    0.50    0.00 4912.50
       t_17: 4173.00  862.50    0.00 5035.50
       t_18: 3647.00 1459.00    0.00 5106.00
       t_19: 3645.50 1458.50    0.00 5104.00
       t_20: 3639.00 1455.00    0.00 5094.00
       t_21: 3644.00 1458.00    0.00 5102.00
       t_22: 2414.50 1614.50  773.00 4802.00
       t_23:    0.00 1781.50 2422.50 4204.00
       t_24:    0.00 1788.00 2413.50 4201.50
       t_25:    0.00 1783.50 2419.50 4203.00
       t_26:    0.00 1780.50 2387.00 4167.50
       t_27:    0.00 1776.50 2166.00 3942.50
       t_28: 1987.00 1057.50 1280.00 4324.50
       t_29: 5075.50   15.00    0.00 5090.50
       t_30: 5055.50    0.50    0.00 5056.00
       t_31: 4789.00  192.50    0.00 4981.50
       t_32: 3646.00 1458.00    0.00 5104.00
       t_33: 3648.50 1460.00    0.00 5108.50
       t_34: 3652.50 1460.50    0.00 5113.00
       t_35: 2146.00 1633.50  850.00 4629.50
       t_36:    0.00 1779.50 2168.50 3948.00
       t_37:    0.00 1777.50 2169.00 3946.50
       t_38:    0.00 1782.00 2163.50 3945.50
       t_39:    0.00 1778.00 2164.00 3942.00
       t_40:    0.00 1778.00 2165.50 3943.50
       t_41: 2447.00  927.00 1126.50 4500.50
       t_42: 4890.00    0.50    0.00 4890.50
       t_43: 5001.50    0.00    0.00 5001.50
       t_44: 5016.00    0.00    0.00 5016.00
       t_45: 3724.00 1348.00    0.00 5072.00
       t_46: 3638.00 1455.50    0.00 5093.50
       t_47: 3601.00 1440.00    0.00 5041.00
       t_48: 1682.50 1669.00 1118.50 4470.00
       t_49:    0.00 1776.00 2166.00 3942.00
       t_50:    0.00 1772.00 2526.00 4298.00
       t_51:    0.00 1776.00 2568.50 4344.50
       t_52:    0.00 1775.50 2569.50 4345.00
       t_53:    0.00 1777.00 2562.00 4339.00
       t_54: 3045.50  707.00 1015.00 4767.50
       t_55: 5016.50    0.00    0.00 5016.50
       t_56: 4977.50   24.00    0.00 5001.50
       t_57: 4885.50   18.00    0.00 4903.50
       t_58: 3640.50 1456.00    0.00 5096.50
       t_59: 3631.50 1453.00    0.00 5084.50
       t_60: 3636.00 1454.50    0.00 5090.50
       t_61: 1167.00 1717.50 1697.00 4581.50
       t_62:    0.00 1776.50 2558.50 4335.00
       t_63:    0.00 1776.00 2560.00 4336.00
       t_64:    0.00 1778.00 2557.50 4335.50
       t_65:    0.00 1778.50 2556.50 4335.00
       t_66:    0.00 1776.50 2559.50 4336.00
       t_67: 3749.00  450.00  646.50 4845.50
       t_68: 4953.50    0.00    0.00 4953.50
       t_69: 5122.00    0.00    0.00 5122.00
       t_70: 4817.00  298.00    0.00 5115.00
       t_71: 3641.50 1456.50    0.00 5098.00
       t_72: 3647.50 1459.00    0.00 5106.50
       t_73: 3646.50 1459.00    0.00 5105.50
       t_74:  423.00 1787.00 2218.00 4428.00
       t_75:    0.00 1777.50 2558.50 4336.00
       t_76:    0.00 1778.00 2556.00 4334.00
       t_77:    0.00 1778.00 2556.00 4334.00
       t_78:    0.00 1777.50 2556.00 4333.50
       t_79:    0.00 1777.50 2556.00 4333.50
       t_80: 4806.50   86.00  121.50 5014.00
       t_81: 5032.50    0.00    0.00 5032.50
       t_82: 5024.50    0.00    0.00 5024.50
       t_83: 4513.00  513.50    0.00 5026.50
       t_84: 3635.00 1453.50    0.00 5088.50
       t_85: 3645.50 1458.50    0.00 5104.00
       t_86: 3343.00 1529.50  165.50 5038.00
       t_87:    0.00 1778.00 2557.00 4335.00
