/tmp/tmp.NzemDORxBq/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NzemDORxBq/sim/631_test-03/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000
system_capacity = 5000.000
mclock_win_size = 10.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0
client_type = 1

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 1200.0
client_limit = 0.0
client_weight = 3.0
client_type = 0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0
client_type = 2

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 392197 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 3860.50 1200.50    0.00 5061.00
        t_1: 3845.50 1200.00    0.00 5045.50
        t_2: 3850.50 1200.00    0.00 5050.50
        t_3: 3503.50 1312.00  222.00 5037.50
        t_4:  696.50 1785.50 2481.50 4963.50
        t_5: 3838.50 1200.00    0.50 5039.00
        t_6: 3826.50 1200.00    0.00 5026.50
        t_7: 3837.50 1200.00    0.00 5037.50
        t_8: 2741.50 1420.50  669.00 4831.00
        t_9:    0.00 1786.50 2508.50 4295.00
       t_10:    0.00 1778.50 2554.50 4333.00
       t_11:    0.00 1778.50 2556.00 4334.50
       t_12:    0.00 1778.00 2556.00 4334.00
       t_13:    0.00 1779.00 2499.00 4278.00
       t_14: 1349.00 1577.00 1568.00 4494.00
       t_15: 3845.50 1200.00    0.00 5045.50
       t_16: 3836.50 1200.50    0.00 5037.00
       t_17: 3822.50 1200.00    0.00 5022.50
       t_18: 3546.00 1300.50  167.00 5013.50
       t_19:  740.00 1796.00 2414.50 4950.50
       t_20: 3834.00 1200.00    1.00 5035.00
       t_21: 3829.50 1200.00    0.00 5029.50
       t_22: 3837.50 1200.50    0.00 5038.00
       t_23: 1359.50 1619.50 1517.00 4496.00
       t_24:    0.00 1778.00 2417.00 4195.00
       t_25:    0.00 1781.00 2420.00 4201.00
       t_26:    0.00 1790.50 2417.00 4207.50
       t_27:    0.00 1782.50 2275.00 4057.50
       t_28:    0.00 1781.00 2163.00 3944.00
       t_29: 2717.50 1368.00  631.50 4717.00
       t_30: 3841.50 1200.50    0.00 5042.00
       t_31: 3853.50 1200.00    0.00 5053.50
       t_32: 3871.00 1200.00    0.00 5071.00
       t_33: 3527.50 1312.00  195.00 5034.50
       t_34: 1040.50 1789.00 2159.00 4988.50
       t_35: 3858.50 1200.50    1.00 5060.00
       t_36: 3849.00 1200.00    0.00 5049.00
       t_37: 3441.00 1307.50  182.50 4931.00
       t_38:    0.00 1778.50 2164.00 3942.50
       t_39:    0.00 1778.00 2168.50 3946.50
       t_40:    0.00 1777.50 2168.00 3945.50
       t_41:    0.00 1778.50 2164.00 3942.50
       t_42:    0.00 1779.00 2165.50 3944.50
       t_43:  635.50 1684.00 1802.00 4121.50
       t_44: 3853.50 1200.00    0.00 5053.50
       t_45: 3851.50 1200.00    0.00 5051.50
       t_46: 3860.00 1200.00    0.00 5060.00
       t_47: 3843.00 1200.00    0.00 5043.00
       t_48: 3540.00 1312.50  196.00 5048.50
       t_49:  717.00 1793.00 2438.50 4948.50
       t_50: 3809.00 1200.50    2.00 5011.50
       t_51: 3845.00 1200.00    0.00 5045.00
       t_52: 2045.50 1518.00 1142.00 4705.50
       t_53:    0.00 1778.00 2556.50 4334.50
       t_54:    0.00 1778.00 2555.50 4333.50
       t_55:    0.00 1778.00 2557.00 4335.00
       t_56:    0.00 1777.50 2558.50 4336.00
       t_57:    0.00 1778.00 2551.50 4329.50
       t_58: 2031.50 1471.00 1203.50 4706.00
       t_59: 3840.00 1200.50    0.00 5040.50
       t_60: 3813.00 1200.00    0.00 5013.00
       t_61: 3846.50 1200.00    0.00 5046.50
       t_62: 3823.50 1200.00    0.00 5023.50
       t_63: 3559.00 1298.50  167.50 5025.00
       t_64:  635.00 1792.50 2543.00 4970.50
       t_65: 3854.00 1200.50    2.50 5057.00
       t_66: 3855.00 1200.00    0.00 5055.00
       t_67:  742.50 1715.00 2013.00 4470.50
       t_68:    0.00 1778.00 2561.00 4339.00
       t_69:    0.00 1777.00 2560.00 4337.00
       t_70:    0.00 1778.00 2554.00 4332.00
       t_71:    0.00 1777.50 2557.00 4334.50
       t_72:    0.00 1777.50 2554.50 4332.00
       t_73: 3341.50 1275.00  331.50 4948.00
       t_74: 3869.00 1200.00    0.00 5069.00
       t_75: 3856.50 1200.00    0.00 5056.50
       t_76: 3832.00 1200.00    0.00 5032.00
       t_77: 3844.50 1200.00    0.00 5044.50
       t_78: 3519.50 1306.50  200.50 5026.50
       t_79:  645.00 1796.50 2540.00 4981.50
       t_80: 3836.00 1200.50    3.00 5039.50
       t_81: 3256.00 1336.00  343.00 4935.00
       t_82:    0.00 1776.50 2559.50 4336.00
       t_83:    0.00 1778.00 2556.00 4334.00
       t_84:    0.00 1778.50 2555.00 4333.50
