/tmp/tmp.NzemDORxBq/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NzemDORxBq/sim/631_test/dmc_sim_test_swap01.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000
system_capacity = 5000.000
mclock_win_size = 20.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 5000.0
client_weight = 6.0
client_type = 0

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 10
client_iops_goal = 2000
client_outstanding_ops = 100
client_reservation = 0.0
client_limit = 1200.0
client_weight = 3.0
client_type = 1

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 300000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0
client_type = 2

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 213697 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 3891.00 1200.00    0.00 5091.00
        t_1: 3889.00 1200.00    0.00 5089.00
        t_2: 3897.50 1200.00    0.00 5097.50
        t_3: 3887.50 1200.50    0.00 5088.00
        t_4: 4032.00 1069.50    0.00 5101.50
        t_5: 3903.50 1200.00    0.00 5103.50
        t_6: 3904.50 1200.00    0.00 5104.50
        t_7: 2594.00 1444.50  814.00 4852.50
        t_8:    0.00 1521.00 2482.50 4003.50
        t_9:    0.00 1779.00 2511.50 4290.50
       t_10:    0.00 1777.50 2555.50 4333.00
       t_11:    0.00 1511.00 2556.00 4067.00
       t_12:    0.00 1776.50 2564.50 4341.00
       t_13: 1969.50 1075.00 1544.00 4588.50
       t_14: 4968.00    0.00    6.50 4974.50
       t_15: 4974.00    0.00    0.50 4974.50
       t_16: 4057.00  986.00    0.00 5043.00
       t_17: 3906.00 1200.50    0.00 5106.50
       t_18: 3885.00 1200.00    0.00 5085.00
       t_19: 3891.50 1200.00    0.00 5091.50
       t_20: 2349.00 1259.50  960.50 4569.00
       t_21:    0.00 1736.00 2423.50 4159.50
       t_22:    0.00 1786.00 2419.00 4205.00
       t_23:    0.00 1514.00 2419.50 3933.50
       t_24:    0.00 1780.50 2417.00 4197.50
       t_25:    0.00 1777.50 2423.00 4200.50
       t_26: 2305.00  957.50 1295.50 4558.00
       t_27: 4978.00    4.50   10.50 4993.00
       t_28: 4948.50    0.00    0.00 4948.50
       t_29: 4008.50 1055.00    0.00 5063.50
       t_30: 3906.50 1200.00    0.00 5106.50
       t_31: 3890.00 1200.00    0.00 5090.00
       t_32: 3875.00 1200.00    0.00 5075.00
       t_33: 2088.50 1248.00 1051.00 4387.50
       t_34:    0.00 1778.00 2164.00 3942.00
       t_35:    0.00 1777.50 2166.00 3943.50
       t_36:    0.00 1511.50 2165.00 3676.50
       t_37:    0.00 1778.50 2167.00 3945.50
       t_38:    0.00 1778.50 2164.50 3943.00
       t_39: 2676.50  844.50 1030.00 4551.00
       t_40: 5012.50    0.00    0.00 5012.50
       t_41: 5033.50    0.00    1.50 5035.00
       t_42: 4067.00 1052.50    0.00 5119.50
       t_43: 3913.50 1200.00    0.00 5113.50
       t_44: 3901.50 1200.00    0.00 5101.50
       t_45: 3893.50 1200.00    0.00 5093.50
       t_46: 1502.00 1383.00 1344.00 4229.00
       t_47:    0.00 1777.50 2165.50 3943.00
       t_48:    0.00 1778.50 2164.50 3943.00
       t_49:    0.00 1511.50 2190.50 3702.00
       t_50:    0.00 1777.50 2559.00 4336.50
       t_51:    0.00 1777.50 2557.00 4334.50
       t_52: 3475.00  414.50  819.50 4709.00
       t_53: 5037.50    0.00    0.00 5037.50
       t_54: 4694.00  250.50   16.00 4960.50
       t_55: 3904.00 1200.00    0.00 5104.00
       t_56: 3905.50 1200.50    0.00 5106.00
       t_57: 3911.00 1200.00    0.00 5111.00
       t_58: 3960.50 1149.00    0.00 5109.50
       t_59: 1112.00 1594.00 1867.50 4573.50
       t_60:    0.00 1779.00 2555.50 4334.50
       t_61:    0.00 1627.00 2553.50 4180.50
       t_62:    0.00 1662.50 2549.50 4212.00
       t_63:    0.00 1778.00 2559.00 4337.00
       t_64:    0.00 1559.50 2552.50 4112.00
       t_65:    0.00 1729.50 2555.50 4285.00
       t_66:    0.00 1778.00 2555.00 4333.00
       t_67:    0.00 1511.50 2552.00 4063.50
       t_68:    0.00 1778.00 2556.00 4334.00
       t_69:    0.00 1778.00 2556.00 4334.00
       t_70:    0.00 1511.00 2552.00 4063.00
       t_71:    0.00 1777.50 2558.00 4335.50
       t_72:    0.00 1778.00 2555.50 4333.50
       t_73:    0.00 1512.00 2553.00 4065.00
       t_74:    0.00 1778.50 2555.50 4334.00
       t_75:    0.00 1778.00 2556.00 4334.00
       t_76:    0.00 1511.00 2556.00 4067.00
       t_77:    0.00 1778.50 2556.50 4335.00
       t_78:    0.00 1778.50 2556.50 4335.00
       t_79:    0.00 1510.50 2555.50 4066.00
       t_80:    0.00 1777.50 2559.00 4336.50
       t_81:    0.00 1778.50 2556.00 4334.50
       t_82:    0.00 1511.00 2551.50 4062.50
       t_83:    0.00 1778.00 2556.00 4334.00
       t_84:    0.00 1778.00 2556.00 4334.00
       t_85:    0.00 1512.00 2552.00 4064.00
