/tmp/tmp.NzemDORxBq/cmake-build-debug-remote-host/sim/dmc_sim -c /tmp/tmp.NzemDORxBq/sim/131_test/dmc_sim_test.conf
[global]
server_groups = 1
client_groups = 3
server_random_selection = 1
server_soft_limit = 1
anticipation_timeout = 0.000
system_capacity = 5000.000
mclock_win_size = 20.000

[client.0]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 10
client_iops_goal = 7000
client_outstanding_ops = 500
client_reservation = 0.0
client_limit = 3000.0
client_weight = 1.0
client_type = 1

[client.1]
client_count = 1
client_wait = 0
client_total_ops = 1000000
client_server_select_range = 10
client_iops_goal = 5000
client_outstanding_ops = 100
client_reservation = 2000.0
client_limit = 0.0
client_weight = 2.0
client_type = 0

[client.2]
client_count = 1
client_wait = 0
client_total_ops = 600000
client_server_select_range = 20
client_iops_goal = 3000
client_outstanding_ops = 5
client_reservation = 0.0
client_limit = 0.0
client_weight = 1.0
client_type = 2

[server.0]
server_count = 1
server_iops = 8000
server_threads = 1

simulation started
simulation completed in 453278 millisecs
==== Client Data ====
     client:       0       1       2  total
        t_0: 2999.50 2066.00    0.00 5065.50
        t_1: 3000.00 2074.00    0.00 5074.00
        t_2: 3000.50 2073.00    0.00 5073.50
        t_3: 3000.00 2057.00    0.00 5057.00
        t_4:  500.00 3717.00  788.50 5005.50
        t_5:    0.00 3996.00 1007.50 5003.50
        t_6:    0.00 2737.50 2262.50 5000.00
        t_7:    0.00 2474.50 2524.00 4998.50
        t_8:    0.00 2464.00 2539.00 5003.00
        t_9:    0.00 2467.00 2541.00 5008.00
       t_10: 3068.50 2000.00    0.00 5068.50
       t_11: 3010.50 2000.00    0.00 5010.50
       t_12: 2999.50 2000.50    0.00 5000.00
       t_13: 3000.00 2000.00    0.00 5000.00
       t_14:  421.50 3761.50  818.50 5001.50
       t_15:    0.00 3993.50 1020.00 5013.50
       t_16:    0.00 2890.50 2116.50 5007.00
       t_17:    0.00 2580.00 2415.50 4995.50
       t_18:    0.00 2576.00 2421.50 4997.50
       t_19:    0.00 2571.00 2422.50 4993.50
       t_20: 3030.50 2000.50    0.00 5031.00
       t_21: 1969.50 2744.50  303.50 5017.50
       t_22:    0.00 3991.00 1017.00 5008.00
       t_23:    0.00 3698.50 1304.50 5003.00
       t_24:    0.00 2578.50 2420.00 4998.50
       t_25:    0.00 2614.50 2384.50 4999.00
       t_26:    0.00 2836.00 2167.00 5003.00
       t_27: 1299.50 2475.50 1254.00 5029.00
       t_28: 3000.50 2000.50   63.00 5064.00
       t_29: 3000.00 2000.00   66.50 5066.50
       t_30: 3000.50 2079.00    0.00 5079.50
       t_31: 3000.00 2055.00    0.00 5055.00
       t_32: 2998.50 2004.50    0.00 5003.00
       t_33: 2998.50 2000.00    0.00 4998.50
       t_34:  504.00 3707.50  792.00 5003.50
       t_35:    0.00 3999.50 1000.50 5000.00
       t_36:    0.00 3157.50 1848.50 5006.00
       t_37:    0.00 2840.00 2158.00 4998.00
       t_38:    0.00 2838.00 2161.50 4999.50
       t_39:    0.00 2833.00 2161.00 4994.00
       t_40: 2998.50 2000.00    1.00 4999.50
       t_41: 2997.00 2000.00    0.00 4997.00
       t_42: 2999.50 2000.00    0.00 4999.50
       t_43: 1203.50 3208.50  536.00 4948.00
       t_44:    0.00 3975.50  996.50 4972.00
       t_45:    0.00 3483.50 1521.00 5004.50
       t_46:    0.00 2840.50 2160.00 5000.50
       t_47:    0.00 2559.00 2401.00 4960.00
       t_48:    0.00 2427.50 2541.50 4969.00
       t_49: 2044.50 2148.50  825.50 5018.50
       t_50: 3000.50 2020.00    0.00 5020.50
       t_51: 3000.50 2046.50    0.00 5047.00
       t_52: 3000.00 2063.00    0.00 5063.00
       t_53: 3000.00 2066.00    0.00 5066.00
       t_54:  500.50 3720.50  800.50 5021.50
       t_55:    0.00 3954.00 1071.50 5025.50
       t_56:    0.00 2832.50 2130.50 4963.00
       t_57:    0.00 2361.50 2547.00 4908.50
       t_58:    0.00 2360.50 2548.00 4908.50
       t_59:    0.00 2370.00 2542.00 4912.00
       t_60: 2998.50 2000.00    1.00 4999.50
       t_61: 2999.00 2000.50    0.00 4999.50
       t_62: 3000.00 2000.00    0.00 5000.00
       t_63: 3034.00 2000.00    0.00 5034.00
       t_64:  468.50 3709.50  861.00 5039.00
       t_65:    0.00 3952.50 1078.50 5031.00
       t_66:    0.00 3061.50 1955.50 5017.00
       t_67:    0.00 2466.00 2538.50 5004.50
       t_68:    0.00 2452.00 2548.50 5000.50
       t_69:    0.00 2456.50 2543.50 5000.00
       t_70: 2954.00 2087.50    1.00 5042.50
       t_71:    0.00 4010.50 1018.00 5028.50
       t_72:    0.00 3960.50 1075.50 5036.00
       t_73:    0.00 2662.00 2357.50 5019.50
       t_74:    0.00 2474.50 2541.00 5015.50
       t_75:    0.00 2468.00 2541.00 5009.00
       t_76:  338.50 2421.50 2263.50 5023.50
       t_77: 3000.50 2000.00   75.50 5076.00
       t_78: 3000.00 2000.50   79.50 5080.00
       t_79: 3000.50 2000.00   75.00 5075.50
       t_80: 3000.00 2076.50    0.00 5076.50
       t_81: 3000.50 2082.50    0.00 5083.00
       t_82: 3000.00 2061.00    0.00 5061.00
       t_83: 3000.50 2056.00    0.00 5056.50
       t_84:  501.00 3711.00  819.50 5031.50
       t_85:    0.00 3981.50 1043.00 5024.50
